station_id,station_name,geton_usage,getoff_usage,total_usage,tour_station
300,용문마을회관,109,382,491,0
1221,만장굴입구,215,275,490,1
1015,세화리시장2동,183,306,489,0
1189,세화리구좌농협,237,247,484,0
1989,대평리,231,253,484,0
2014,하얏트호텔,276,207,483,1
167,홍랑로입구,328,155,483,0
397,함덕농협지소,161,322,483,0
1086,애월리,194,287,481,0
275,문예회관,270,209,479,0
2819,한국국제학교,454,24,478,0
3373,국세공무원교육원공무원연금공단,14,463,477,0
108,제주연안여객터미널,71,403,474,0
1817,효돈중학교,258,213,471,0
346,수협제주도지회,393,78,471,0
691,원노형,429,40,469,0
1162,고산환승정류장(고산1리고산성당앞),346,122,468,0
2350,성산리,323,144,467,0
1092,곽지모물,355,111,466,0
1360,제주도립미술관입구,423,42,465,1
206,제주대학교입구,85,380,465,0
1125,한림여자중학교,221,237,458,0
2602,신양리입구,160,298,458,0
2821,삼정지에듀,41,416,457,0
411,조천환승정류장(조천우체국),279,177,456,1
12,롯데마트,217,239,456,0
1014,세화리시장2동,314,140,454,0
1142,금능리,315,134,449,0
91,신성마을,283,161,444,0
27,외도초등학교,277,167,444,1
1566,금능해수욕장,230,209,439,1
1078,고내리,242,197,439,0
2127,창천리남당물동산,273,165,438,0
1771,고래왓,168,269,437,0
3,오광로입구,84,352,436,0
271,광양,264,171,435,0
2468,화순환승정류장(안덕농협),271,163,434,0
1230,김녕리,201,231,432,0
278,인화초등학교,236,195,431,0
345,수협제주도지회,158,272,430,0
3281,남국원(광양방면),241,189,430,0
596,원노형,345,82,427,0
1729,서귀포여자고등학교,244,182,426,0
99,월랑로입구,166,260,426,0
786,고산환승정류장(고산1리),119,300,419,0
3348,탐라광장,89,330,419,0
620,다호마을,204,214,418,0
2718,붉은오름,218,198,416,1
28,외도초등학교,128,287,415,1
2967,관음사,407,4,411,0
90,신성마을,160,251,411,0
2464,산방산,310,101,411,1
313,제주동초등학교,253,154,407,0
2038,천지동주민센터,196,209,405,0
2113,천지연폭포(종점),233,172,405,1
692,메종글래드제주,343,62,405,
3185,중문관광단지,331,72,403,
1051,대천환승정류장(제주방향),263,139,402,0
553,제주관광대학,178,223,401,0
2971,제주한라대학교(종점),190,210,400,0
1359,제주도립미술관입구,20,379,399,1
299,화물청사입구,151,247,398,0
234,신촌초등학교,277,117,394,0
1266,제주돌문화공원,129,263,392,1
2603,신양리입구,251,141,392,0
2721,탄산온천,279,111,390,1
2879,섭지코지,281,109,390,1
2522,남원읍사무소,281,107,388,0
169,동성마을,105,279,384,0
1141,금능리,162,222,384,0
1639,상창보건진료소,268,115,383,0
2659,남원생활체육관,72,310,382,0
125,아라주공아파트,84,295,379,0
1367,사려니숲길,221,158,379,1
45,하귀환승정류장(하귀하나로마트),183,192,375,0
410,조천환승정류장(조천리사무소),148,225,373,0
1636,롯데호텔,239,132,371,1
3401,쇠소깍입구,227,143,370,1
3204,오설록,92,277,369,1
1121,옹포리,216,153,369,0
401,해양연구소,160,206,366,0
312,제주동초등학교,126,240,366,0
1356,제주절물자연휴양림,88,277,365,1
2019,아랑조을거리입구,181,183,364,0
2737,토요시장입구,111,253,364,0
4049,영등물,184,180,364,0
44,하귀환승정류장(하귀하나로마트),230,133,363,0
135,산천단,230,131,361,0
2465,산방산,121,238,359,1
433,노형초등학교,174,184,358,0
389,서문로터리,99,258,357,0
589,큰동네,178,178,356,0
136,산천단한국폴리텍대학,141,214,355,0
1144,월령리,283,72,355,0
122,인다마을,284,70,354,0
2523,남원읍사무소,132,220,352,0
1203,평대초등학교,278,72,350,0
2055,중문동,166,184,350,0
1539,"다랑쉬오름입구(남),손지오름",140,209,349,1
1058,대천환승정류장(표선방향),159,188,347,0
1148,판포리,114,232,346,0
402,신흥리(마을입구)함덕고등학교,237,107,344,0
3062,서귀포시외버스터미널(가상정류소),336,7,343,0
276,문예회관,187,156,343,0
2082,아랑조을거리입구,111,231,342,0
124,아라주공아파트,275,67,342,0
9,노형우체국,255,87,342,0
10,노형우체국,101,239,340,0
2083,LH아파트,191,148,339,0
4033,연동한일시티파크,286,52,338,0
3099,동복리관광체험어장,213,125,338,1
400,해양연구소,205,131,336,0
2793,고성리성산농협,226,110,336,0
293,국립제주박물관,224,112,336,1
1063,산굼부리,143,191,334,1
2567,성산포수협표선지점,256,78,334,0
859,동성동,200,133,333,0
1122,옹포리,132,200,332,0
2818,한국국제학교,37,295,332,0
467,제주동중학교,110,221,331,0
1095,금빛신협,191,140,331,0
1127,한국통신,125,206,331,0
2892,함덕리(4구),286,44,330,0
795,금능석물원,271,59,330,1
554,제주관광대학,205,125,330,0
310,제주여자상업고등학교,119,208,327,0
2466,화순리,142,183,325,0
13,롯데마트,170,154,324,0
4034,연동한일시티파크,122,202,324,0
2010,플레이케이팝박물관,172,151,323,1
2054,중문동,173,148,321,0
1836,위미문화의집,180,141,321,0
2032,천지연폭포입구,318,3,321,1
1749,삼매봉입구,131,189,320,1
481,연동대림1차아파트,263,57,320,0
2093,고래왓,189,130,319,0
2817,블랭섬홀아시아,36,281,317,0
1259,제주돌문화공원,269,47,316,1
1145,월령리,55,260,315,0
4088,제주신화월드테마파크,186,128,314,1
1366,사려니숲길,121,185,306,1
737,한림고등학교,20,284,304,0
316,사라봉오거리,203,99,302,1
356,남녕마트,130,171,301,0
1064,산굼부리,207,93,300,1
235,신촌초등학교,88,212,300,0
3128,해녀박물관,253,44,297,1
355,남녕마트,192,105,297,0
1515,함덕리(4구),28,267,295,0
174,명주주택,286,9,295,0
2105,서귀포항,291,4,295,0
3031,서귀포칼호텔(종점),68,227,295,1
3174,대정농협,195,99,294,0
480,연동대림1차아파트,90,203,293,0
631,공항초소,49,244,293,0
2700,약천사,209,83,292,0
2356,오조해녀의집,154,138,292,1
2814,동백동산,209,80,289,1
424,오현중고등학교,139,148,287,0
2657,남원생활체육관,238,46,284,0
126,케이티앤지,227,55,282,0
2180,상천리사무소,92,188,280,0
2816,블랭섬홀아시아,247,33,280,0
1072,중엄리,174,105,279,0
303,용문마을,203,75,278,0
2752,남원포구입구,149,129,278,0
19,수정동,173,105,278,0
3115,국제여객선터미널,16,261,277,0
268,화북남문,195,82,277,0
1147,판포리,203,74,277,0
861,종달리,113,163,276,0
3127,해녀박물관,35,241,276,1
2357,오조해녀의집,155,120,275,1
3287,하례환승정류장(하례리입구),230,44,274,0
1026,교래사거리,77,196,273,0
703,평대,7,266,273,0
351,이호테우해수욕장,245,27,272,1
2111,서귀포칼호텔,259,13,272,1
1071,중엄리,141,131,272,0
3081,유승한내들아파트,259,12,271,0
131,아라동주민센터,206,65,271,0
738,한림고등학교,252,17,269,0
1188,세화리구좌농협,129,140,269,0
423,오현중고등학교,139,128,267,0
1208,계룡동,150,117,267,0
403,신흥리(마을입구)함덕고등학교,97,170,267,0
1816,비석거리,237,30,267,0
153,중앙마을,9,258,267,0
172,오라3동,82,185,267,0
3172,서복전시관,255,11,266,0
1870,하례환승정류장(하례리입구),68,197,265,0
2216,고성리장만이동산,158,107,265,1
1801,삼아아파트,218,47,265,0
3116,제6부두,2,260,262,0
1235,동복리,116,146,262,0
59,일우한란아파트,17,245,262,1
2461,사계리동동,181,80,261,0
1143,금능석물원,53,207,260,1
3080,유승한내들아파트,49,209,258,0
344,제주썬호텔,185,72,257,1
2656,광지동,145,111,256,0
588,우당도서관,166,90,256,0
3169,별내린전망대,14,241,255,1
2280,인성리(남문지앞사거리),74,181,255,0
592,화북초등학교,113,141,254,0
1096,금빛신협,128,126,254,0
