station_id,station_name,station_longitude,station_latitude,station_address,geton_usage,getoff_usage,total_usage
114.0,탑동입구,126.52467,33.51531,제주특별자치도 제주시 일도일동 1279-9,73,11,84
115.0,탑동입구,126.52483000000001,33.51585,제주특별자치도 제주시 일도일동 1278-11,49,99,148
116.0,남국사,126.54958,33.46215,제주특별자치도 제주시 아라일동 1918-9,38,39,77
117.0,남국사,126.54978999999999,33.46049,제주특별자치도 제주시 아라일동 499-7,11,15,26
118.0,웃인다마을,126.54925,33.464459999999995,제주특별자치도 제주시 아라일동 628-2,14,15,29
119.0,죽성마을입구,126.5491,33.46313,제주특별자치도 제주시 아라일동 1918-13,12,16,28
120.0,제주대학교병원,126.54777,33.469159999999995,제주특별자치도 제주시 아라일동 1801-4,432,183,615
121.0,제주대학교병원,126.54739,33.46909,제주특별자치도 제주시 아라일동 1803-8,224,477,701
122.0,인다마을,126.54581999999999,33.47064,제주특별자치도 제주시 아라일동 6174,284,70,354
123.0,인다마을,126.5454,33.47145,제주특별자치도 제주시 아라일동 6174,58,162,220
124.0,아라주공아파트,126.54569,33.473079999999996,제주특별자치도 제주시 아라일동 6174,275,67,342
125.0,아라주공아파트,126.54542,33.473659999999995,제주특별자치도 제주시 아라일동 6092-7,84,295,379
126.0,케이티앤지,126.48535,33.48207,제주특별자치도 제주시 노형동 767,227,55,282
127.0,종합사격장,126.56753,33.44028,제주특별자치도 제주시 영평동 산 8-24,10,2,12
129.0,제주의료원,126.55843,33.44571,제주특별자치도 제주시 아라일동 4-121,58,22,80
130.0,제주의료원,126.55816000000002,33.44567,제주특별자치도 제주시 아라일동 2986-1,18,43,61
131.0,아라동주민센터,126.5449,33.4759,제주특별자치도 제주시 아라일동 6174,206,65,271
132.0,아라초등학교,126.54428,33.47653,제주특별자치도 제주시 아라일동 6174,77,173,250
135.0,산천단,126.55538999999999,33.44786,제주특별자치도 제주시 아라일동 371-4,230,131,361
136.0,산천단한국폴리텍대학,126.55558,33.447990000000004,제주특별자치도 제주시 아라일동 370-10,141,214,355
137.0,사회복지법인춘강,126.55125,33.45265,제주특별자치도 제주시 아라일동 2995-25,1,9,10
138.0,사회복지법인춘강,126.55163999999999,33.45264,제주특별자치도 제주시 아라일동 415-14,10,27,37
139.0,영주고등학교,126.57786000000002,33.457190000000004,제주특별자치도 제주시 월평동 1378-1,31,11,42
140.0,영주고등학교,126.57775,33.45712,제주특별자치도 제주시 월평동 651-73,18,30,48
141.0,정부제주지방합동청사,126.52738000000001,33.49205,제주특별자치도 제주시 도남동 91-2,49,162,211
142.0,정부제주지방합동청사,126.5266,33.4923,제주특별자치도 제주시 도남동 91-2,110,55,165
143.0,양지(추모)공원,126.57652,33.43865,제주특별자치도 제주시 영평동 2255-2,8,16,24
144.0,양지(추모)공원,126.5764,33.43848,제주특별자치도 제주시 영평동 2255-5,13,13,26
145.0,제주국제대학교,126.56943999999999,33.438629999999996,제주특별자치도 제주시 영평동 산 8-10,80,65,145
146.0,제주국제대학교,126.56936,33.43842,제주특별자치도 제주시 영평동 산 8-6,54,66,120
147.0,용천마을,126.52135,33.49991,제주특별자치도 제주시 삼도일동 585-35,557,582,1139
148.0,남서광마을입구,126.52126000000001,33.49968,제주특별자치도 제주시 삼도일동 585-35,687,539,1226
149.0,제주버스터미널,126.51486000000001,33.49993,제주특별자치도 제주시 오라일동 2455-2,3366,2986,6352
150.0,제주버스터미널,126.51471000000001,33.5002,제주특별자치도 제주시 용담일동 2829-7,2986,2938,5924
151.0,한국병원,126.51768999999999,33.499790000000004,제주특별자치도 제주시 삼도일동 585-35,1451,1260,2711
152.0,한국병원,126.51807,33.50005,제주특별자치도 제주시 삼도일동 585-35,354,406,760
153.0,중앙마을,126.5197,33.50163,제주특별자치도 제주시 삼도일동 533-6,9,258,267
154.0,용천마을,126.51995,33.50155,제주특별자치도 제주시 삼도일동 585-13,91,18,109
155.0,삼도1동주민센터,126.51971,33.50318,제주특별자치도 제주시 삼도일동 531-14,10,41,51
157.0,보건소,126.52088,33.49238,제주특별자치도 제주시 도남동 1035-1,61,28,89
158.0,보건소,126.52207,33.49212,제주특별자치도 제주시 도남동 792-4,27,75,102
164.0,광양사거리,126.5271,33.50047,제주특별자치도 제주시 이도일동 1775-21,1125,1352,2477
165.0,탐라장애인종합복지관,126.52563,33.50023,제주특별자치도 제주시 이도일동 1938,114,125,239
166.0,탐라장애인종합복지관,126.52583,33.50002,제주특별자치도 제주시 이도이동 1781-9,633,454,1087
167.0,홍랑로입구,126.52387,33.499970000000005,제주특별자치도 제주시 삼도일동 585-35,328,155,483
168.0,남서광마을,126.52376000000001,33.499790000000004,제주특별자치도 제주시 삼도일동 585-35,237,279,516
169.0,동성마을,126.51103,33.50005,제주특별자치도 제주시 오라이동 2424-7,105,279,384
170.0,동산교,126.51026999999999,33.50028,제주특별자치도 제주시 용담이동 2637-7,687,449,1136
171.0,월구마을,126.507,33.50013,제주특별자치도 제주시 오라삼동 2341-3,265,543,808
172.0,오라3동,126.50318,33.49925,제주특별자치도 제주시 오라삼동 2574-1,82,185,267
173.0,명신마을,126.50303000000001,33.49962,제주특별자치도 제주시 용담이동 2775,134,25,159
174.0,명주주택,126.49349,33.49579,제주특별자치도 제주시 용담이동 1815,286,9,295
175.0,명주주택,126.49376000000001,33.495670000000004,제주특별자치도 제주시 연동 2514-1,76,112,188
176.0,문서교,126.61419,33.52815,제주특별자치도 제주시 조천읍 신촌리 2793,5,16,21
177.0,문서교,126.61328,33.527770000000004,제주특별자치도 제주시 조천읍 신촌리 3170-2,21,10,31
179.0,진드르,126.60692,33.52367,제주특별자치도 제주시 조천읍 신촌리 4005,2,4,6
180.0,삼양검문소,126.60085,33.52095,제주특별자치도 제주시 조천읍 신촌리 3901-3,4,9,13
181.0,삼양검문소,126.60003,33.52102,제주특별자치도 제주시 삼양일동 604-2,6,5,11
184.0,제원아파트,126.49013000000001,33.48845,제주특별자치도 제주시 연동 272,184,864,1048
185.0,제원아파트,126.48988999999999,33.48753,제주특별자치도 제주시 연동 262-5,924,221,1145
186.0,은남동,126.4909,33.485820000000004,제주특별자치도 제주시 연동 273,1932,211,2143
187.0,은남동,126.49248,33.48588,제주특별자치도 제주시 연동 283,289,1614,1903
188.0,도호동,126.49492,33.485659999999996,제주특별자치도 제주시 연동 293,820,108,928
189.0,도호동,126.49501000000001,33.48581,제주특별자치도 제주시 연동 293,163,977,1140
190.0,제주중앙중학교,126.49938,33.48553,제주특별자치도 제주시 연동 314-90,3,10,13
191.0,제주중앙중학교,126.5001,33.485690000000005,제주특별자치도 제주시 연동 323,1,8,9
192.0,함덕환승정류장(함덕해수욕장),126.66913999999998,33.54101,제주특별자치도 제주시 조천읍 함덕리 4143,3943,1841,5784
193.0,함덕리(4구),126.67323,33.53998,제주특별자치도 제주시 조천읍 함덕리 286-6,259,320,579
195.0,함덕광명샤인빌앞,126.67461000000002,33.53823,제주특별자치도 제주시 조천읍 함덕리 4171,97,32,129
197.0,신사동,126.6756,33.534659999999995,제주특별자치도 제주시 조천읍 함덕리 72-60,3,28,31
198.0,함덕환승정류장(함덕해수욕장),126.66877,33.54101,제주특별자치도 제주시 조천읍 함덕리 1002-73,1824,3308,5132
199.0,제주모자원입구,126.56643999999999,33.46286,제주특별자치도 제주시 영평동 2796,14,11,25
200.0,제주대학교,126.56161999999999,33.45989,제주특별자치도 제주시 아라일동 1,387,784,1171
201.0,제주대학교,126.56166,33.46011,제주특별자치도 제주시 아라이동 35-4,720,186,906
203.0,제대아파트,126.5573,33.4589,제주특별자치도 제주시 아라일동 349-4,123,10,133
204.0,제대마을,126.55401,33.45772,제주특별자치도 제주시 아라일동 452-9,8,120,128
205.0,제대마을,126.55394,33.45785,제주특별자치도 제주시 아라일동 452-2,126,1,127
206.0,제주대학교입구,126.55175,33.45627,제주특별자치도 제주시 아라일동 428-2,85,380,465
207.0,제주대학교입구,126.55076000000001,33.456720000000004,제주특별자치도 제주시 아라일동 426-11,155,79,234
