STATION_NM,LOCAL_X,LOCAL_Y,USAGE
인다마을,126.5454,33.47145,10198
동홍사거리,126.56838,33.25472,10128
이호2동,126.46137,33.49488,10098
제주민속촌,126.84103,33.32547,10093
신창환승정류장(한경면사무소),126.18308,33.34993,10064
토평마을회관,126.58975,33.27053,10009
사대부고,126.50997,33.512570000000004,9940
제주해변공연장,126.52252,33.51746,9903
남녕마트,126.48185,33.48993,9885
제주관광대학,126.4352,33.44742,9771
다호마을,126.49625,33.50458,9725
천제연폭포,126.41953000000001,33.25353,9655
성산항입구,126.92917,33.46849,9604
화북초등학교,126.56172,33.51762,9582
중문동,126.42746000000001,33.25163,9428
스위트호텔,126.40767,33.24904,9415
용문마을회관,126.50825,33.50565,9359
용문마을회관,126.50765,33.50495,9342
서귀포여자고등학교,126.53137,33.24463,9289
주공34단지,126.57186999999999,33.2501,9203
신협,126.61323999999999,33.2642,9199
남녕마트,126.48186000000001,33.4897,9185
신사동(종점),126.67791000000001,33.52537,9135
애월환승정류장(애월리),126.31983000000001,33.46444,9081
제주한라대학교(종점),126.47573999999999,33.47779,9049
비석거리,126.57619,33.25489,9009
막상올레,126.83391999999999,33.32582,8983
산천단,126.55538999999999,33.44786,8906
화북주공아파트,126.57588999999999,33.521229999999996,8807
열린병원,126.56525,33.25415,8787
화북주공아파트입구,126.57295,33.51899,8712
중문고등학교,126.44858,33.252759999999995,8694
노형초등학교,126.47578,33.483709999999995,8663
세기아파트,126.57523,33.25268,8649
성산일출봉입구,126.93303,33.462709999999994,8629
천지동주민센터,126.5617,33.24808,8618
렛츠런파크,126.39343000000001,33.41042,8589
신엄리,126.36813000000001,33.4716,8586
함덕비석거리,126.66225,33.54315,8544
고산환승정류장(고산1리고산성당앞),126.18043,33.3009,8514
제주교통방송아라아이파크,126.54931,33.47783,8481
연수마을,126.54336,33.50163,8468
신제주초등학교,126.49632,33.48505,8452
(구)중앙파출소,126.56088999999999,33.2476,8428
삼양종점,126.59131000000001,33.52852,8390
수모루,126.52415,33.24657,8351
LH아파트,126.52281,33.24725,8349
제주고등학교,126.48392,33.47433,8262
현대산부인과,126.5671,33.249179999999996,8259
보건소,126.52088,33.49238,8248
중흥S클래스아파트,126.48213999999999,33.47639,8184
연동365의원,126.49231,33.48196,8169
동덕아파트,126.56008999999999,33.25762,8167
동문로터리,126.56835,33.24868,8090
수협제주도지회,126.49503,33.48987,8061
신촌초등학교,126.61856,33.5323,7994
신성마을,126.48852,33.493829999999996,7972
수선화아파트,126.52984,33.48923,7940
광평,126.46808,33.48397,7920
탑동푸른쉼터,126.52711000000001,33.51656,7920
한림천주교회,126.26491000000001,33.41711,7910
봉개동,126.59245,33.49151,7827
남주중고등학교,126.56608999999999,33.274879999999996,7798
제주절물자연휴양림,126.63025,33.4407,7791
북촌리,126.69503,33.548120000000004,7780
정든마을,126.47406000000001,33.48745,7773
대림아파트,126.55023,33.49962,7753
함덕광명샤인빌앞,126.67461000000002,33.53823,7750
신화역사공원,126.31967,33.305640000000004,7731
성산항입구,126.92955,33.4682,7687
서귀포향토오일시장,126.57394,33.26574,7628
함덕리(3구),126.66573999999999,33.54176,7615
남원1리사무소,126.71403000000001,33.27793,7608
제주신화월드테마파크,126.31546000000002,33.30265,7587
성판악,126.62048999999999,33.38512,7551
함덕리(4구),126.67323,33.53998,7477
영평상동마을회관,126.56823999999999,33.47679,7470
해오름아파트,126.48638000000001,33.4818,7465
오라3동,126.50318,33.49925,7420
월구마을,126.507,33.50013,7415
서귀포우체국서귀포시청제2청사,126.51007,33.25507,7356
