STATION_NM,LOCAL_X,LOCAL_Y,USAGE,address
매일올레시장7번입구,126.56706000000001,33.24909,10963,제주특별자치도 서귀포시 서귀동 335
사라봉오거리,126.54158000000001,33.513529999999996,10830,제주특별자치도 제주시 건입동 711
삼무공원,126.49127,33.48997,10743,제주특별자치도 제주시 연동 271
오광로입구,126.45618,33.49527,10723,제주특별자치도 제주시 이호이동 1587-4
제주국제컨벤션센터,126.42466,33.2434,10719,제주특별자치도 서귀포시 중문동 2507
연동한일시티파크,126.48878,33.49152,10718,제주특별자치도 제주시 연동 2335-4
오라오거리,126.50465,33.500029999999995,10625,제주특별자치도 제주시 용담이동 2756-5
월랑초등학교,126.4791,33.49265,10614,제주특별자치도 제주시 노형동 1085
신시가지,126.50628,33.24978,10614,제주특별자치도 서귀포시 강정동 248-3
남원포구입구,126.71773,33.27887,10517,제주특별자치도 서귀포시 남원읍 남원리 116-6
노형주공아파트,126.47418,33.49068,10373,제주특별자치도 제주시 노형동 1238-1
탐라장애인종합복지관,126.52563,33.50023,10345,제주특별자치도 제주시 이도일동 1938
사평마을,126.51321999999999,33.49257,10340,제주특별자치도 제주시 오라이동 1212-1
인화동,126.53981999999999,33.50888,10340,제주특별자치도 제주시 일도이동 432
삼양1동,126.59,33.52763,10222,제주특별자치도 제주시 삼양일동 1581-29
인다마을,126.5454,33.47145,10198,제주특별자치도 제주시 아라일동 6174
동홍사거리,126.56838,33.25472,10128,제주특별자치도 서귀포시 동홍동 462-3
이호2동,126.46137,33.49488,10098,제주특별자치도 제주시 이호이동 803-6
제주민속촌,126.84103,33.32547,10093,제주특별자치도 서귀포시 표선면 표선리 44-7
신창환승정류장(한경면사무소),126.18308,33.34993,10064,제주특별자치도 제주시 한경면 신창리 261-8
토평마을회관,126.58975,33.27053,10009,제주특별자치도 서귀포시 토평동 1341-10
사대부고,126.50997,33.512570000000004,9940,제주특별자치도 제주시 용담이동 599-8
제주해변공연장,126.52252,33.51746,9903,제주특별자치도 제주시 삼도이동 1192-1
남녕마트,126.48185,33.48993,9885,제주특별자치도 제주시 연동 2335-1
제주관광대학,126.4352,33.44742,9771,제주특별자치도 제주시 애월읍 광령리 2613-6
다호마을,126.49625,33.50458,9725,제주특별자치도 제주시 용담이동 1596-12
천제연폭포,126.41953000000001,33.25353,9655,제주특별자치도 서귀포시 중문동 2232
성산항입구,126.92917,33.46849,9604,제주특별자치도 서귀포시 성산읍 성산리 363
화북초등학교,126.56172,33.51762,9582,제주특별자치도 제주시 화북일동 3994-11
중문동,126.42746000000001,33.25163,9428,제주특별자치도 서귀포시 중문동 1965-7
스위트호텔,126.40767,33.24904,9415,제주특별자치도 서귀포시 색달동 2798-7
용문마을회관,126.50825,33.50565,9359,제주특별자치도 제주시 용담이동 674-3
용문마을회관,126.50765,33.50495,9342,제주특별자치도 제주시 용담이동 2813-1
서귀포여자고등학교,126.53137,33.24463,9289,제주특별자치도 서귀포시 호근동 1532-1
주공34단지,126.57186999999999,33.2501,9203,제주특별자치도 서귀포시 동홍동 2174-17
신협,126.61323999999999,33.2642,9199,제주특별자치도 서귀포시 신효동 714-1
남녕마트,126.48186000000001,33.4897,9185,제주특별자치도 제주시 노형동 1273-6
신사동(종점),126.67791000000001,33.52537,9135,제주특별자치도 제주시 조천읍 함덕리 317-12
애월환승정류장(애월리),126.31983000000001,33.46444,9081,제주특별자치도 제주시 애월읍 애월리 1584-1
제주한라대학교(종점),126.47573999999999,33.47779,9049,제주특별자치도 제주시 노형동 1490-2
비석거리,126.57619,33.25489,9009,제주특별자치도 서귀포시 동홍동 657-4
막상올레,126.83391999999999,33.32582,8983,제주특별자치도 서귀포시 표선면 표선리 2954
산천단,126.55538999999999,33.44786,8906,제주특별자치도 제주시 아라일동 371-4
화북주공아파트,126.57588999999999,33.521229999999996,8807,제주특별자치도 제주시 화북일동 29-1
열린병원,126.56525,33.25415,8787,제주특별자치도 서귀포시 동홍동 1503-18
화북주공아파트입구,126.57295,33.51899,8712,제주특별자치도 제주시 화북일동 29-4
중문고등학교,126.44858,33.252759999999995,8694,제주특별자치도 서귀포시 대포동 533-2
노형초등학교,126.47578,33.483709999999995,8663,제주특별자치도 제주시 노형동 2617-3
세기아파트,126.57523,33.25268,8649,제주특별자치도 서귀포시 동홍동 139-11
성산일출봉입구,126.93303,33.462709999999994,8629,제주특별자치도 서귀포시 성산읍 성산리 178-12
천지동주민센터,126.5617,33.24808,8618,제주특별자치도 서귀포시 서귀동 294-21
렛츠런파크,126.39343000000001,33.41042,8589,제주특별자치도 제주시 애월읍 소길리 산 186-1
신엄리,126.36813000000001,33.4716,8586,제주특별자치도 제주시 애월읍 신엄리 1305-9
함덕비석거리,126.66225,33.54315,8544,제주특별자치도 제주시 조천읍 함덕리 1016
고산환승정류장(고산1리고산성당앞),126.18043,33.3009,8514,제주특별자치도 제주시 한경면 고산리 2865-5
제주교통방송아라아이파크,126.54931,33.47783,8481,제주특별자치도 제주시 아라이동 914-7
연수마을,126.54336,33.50163,8468,제주특별자치도 제주시 일도이동 115
