station_id,cluster_group,cluster_target,cluster_level,cluster_x,cluster_y
48,제주시,14,2,126.503047,33.497930000000004
49,제주시,6,1,126.38619625000001,33.47298875
50,제주시,6,1,126.38619625000001,33.47298875
51,제주시,15,2,126.53455428571428,33.50575714285714
52,제주시,15,2,126.53455428571428,33.50575714285714
53,제주시,16,2,126.54688,33.5103375
54,제주시,16,2,126.54688,33.5103375
55,제주시,17,2,126.54223571428572,33.49968285714286
56,제주시,17,2,126.54223571428572,33.49968285714286
57,제주시,18,2,126.5458375,33.5165475
58,제주시,18,2,126.5458375,33.5165475
59,제주시,19,2,126.5414325,33.5149175
60,제주시,19,2,126.5414325,33.5149175
61,제주시,20,2,126.46102374999998,33.48510125
62,제주시,20,2,126.46102374999998,33.48510125
63,제주시,6,1,126.38619625000001,33.47298875
64,제주시,7,2,126.4991357142857,33.49739142857143
65,제주시,21,2,126.51634625,33.504096249999996
66,제주시,21,2,126.51634625,33.504096249999996
67,제주시,22,2,126.50653625,33.499393749999996
68,제주시,22,2,126.50653625,33.499393749999996
69,제주시,23,2,126.53853625,33.508636249999995
70,제주시,23,2,126.53853625,33.508636249999995
71,제주시,24,2,126.47843500000002,33.46806
72,제주시,24,2,126.47843500000002,33.46806
73,제주시,25,2,126.50926749999999,33.490915
74,제주시,25,2,126.50926749999999,33.490915
75,제주시,742,4,126.5173,33.49225
76,제주시,26,2,126.57161375,33.506277499999996
77,제주시,27,2,126.59078125000002,33.48651
78,제주시,27,2,126.59078125000002,33.48651
79,제주시,28,2,126.61043285714285,33.508981428571424
80,제주시,28,2,126.61043285714285,33.508981428571424
83,제주시,29,2,126.46806833333333,33.484925
84,제주시,29,2,126.46806833333333,33.484925
85,제주시,7,1,126.4991357142857,33.49739142857143
86,제주시,7,1,126.4991357142857,33.49739142857143
87,제주시,26,3,126.57161375,33.506277499999996
88,제주시,26,3,126.57161375,33.506277499999996
89,제주시,30,2,126.53591428571427,33.50405285714286
90,제주시,31,2,126.41658625,33.468393750000004
91,제주시,31,2,126.41658625,33.468393750000004
92,제주시,40,3,126.55112874999999,33.48010375
93,제주시,40,3,126.55112874999999,33.48010375
94,제주시,32,2,126.43406142857143,33.47835571428571
95,제주시,32,2,126.43406142857143,33.47835571428571
96,제주시,33,2,126.46958625,33.480445
97,제주시,33,2,126.46958625,33.480445
98,제주시,34,2,126.49952,33.503275
99,제주시,8,1,126.52698555555554,33.48554444444444
100,제주시,8,1,126.52698555555554,33.48554444444444
107,제주시,35,2,126.48968777777779,33.49433444444444
108,제주시,36,2,126.50162375,33.48645125
109,제주시,36,2,126.50162375,33.48645125
110,제주시,37,2,126.51299285714286,33.48681571428572
111,제주시,37,2,126.51299285714286,33.48681571428572
112,제주시,38,2,126.55015499999999,33.491620000000005
113,제주시,38,2,126.55015499999999,33.491620000000005
114,제주시,39,2,126.49673125000001,33.458555000000004
115,제주시,39,2,126.49673125000001,33.458555000000004
116,제주시,9,1,126.44133571428571,33.46005857142857
117,제주시,743,4,126.54979,33.46049
118,제주시,9,1,126.44133571428571,33.46005857142857
119,제주시,9,1,126.44133571428571,33.46005857142857
120,제주시,40,2,126.55112874999999,33.48010375
121,제주시,40,2,126.55112874999999,33.48010375
122,제주시,41,2,126.47222285714285,33.478164285714286
123,제주시,41,2,126.47222285714285,33.478164285714286
124,제주시,42,2,126.49407000000008,33.50563915492971
125,제주시,42,2,126.49407000000008,33.50563915492971
126,제주시,744,4,126.48535,33.48207
127,제주시,44,3,126.55581857142856,33.47319
128,제주시,44,3,126.55581857142856,33.47319
129,제주시,43,2,126.58407555555557,33.501356666666666
130,제주시,43,2,126.58407555555557,33.501356666666666
131,제주시,10,1,126.54659375,33.48646375
132,제주시,10,1,126.54659375,33.48646375
135,제주시,44,2,126.55581857142856,33.47319
136,제주시,44,2,126.55581857142856,33.47319
137,제주시,45,2,126.56735714285712,33.474697142857146
138,제주시,45,2,126.56735714285712,33.474697142857146
139,제주시,46,2,126.63749200000002,33.485527000000005
140,제주시,46,2,126.63749200000002,33.485527000000005
141,제주시,47,2,126.66094,33.47426875000001
142,제주시,47,2,126.66094,33.47426875000001
143,제주시,48,2,126.33034428571429,33.369664285714286
144,제주시,48,2,126.33034428571429,33.369664285714286
145,제주시,49,2,126.4448025,33.4166875
146,제주시,49,2,126.4448025,33.4166875
147,제주시,50,2,126.33936125,33.406980000000004
148,제주시,50,2,126.33936125,33.406980000000004
149,제주시,11,1,126.53440400000002,33.492535999999994
150,제주시,11,1,126.53440400000002,33.492535999999994
151,제주시,51,2,126.28480454545456,33.36824818181819
152,제주시,51,2,126.28480454545456,33.36824818181819
153,제주시,12,1,126.41324857142857,33.466368571428575
154,제주시,12,1,126.41324857142857,33.466368571428575
155,제주시,12,1,126.41324857142857,33.466368571428575
157,제주시,16,3,126.54688,33.5103375
158,제주시,16,3,126.54688,33.5103375
164,제주시,745,4,126.5271,33.50047
165,제주시,52,2,126.57277857142857,33.48996714285714
166,제주시,52,2,126.57277857142857,33.48996714285714
167,제주시,53,2,126.662805,33.490691250000005
168,제주시,53,2,126.662805,33.490691250000005
169,제주시,54,2,126.54657777777778,33.469143333333335
170,제주시,54,2,126.54657777777778,33.469143333333335
171,제주시,746,4,126.507,33.50013
172,제주시,55,2,126.74086,33.513445
173,제주시,55,2,126.74086,33.513445
174,제주시,56,2,126.59275199999999,33.497384
175,제주시,56,2,126.59275199999999,33.497384
176,제주시,57,2,126.385536,33.387386
177,제주시,57,2,126.385536,33.387386
178,제주시,45,3,126.56735714285712,33.474697142857146
179,제주시,45,3,126.56735714285712,33.474697142857146
180,제주시,58,2,126.36334833333335,33.38795
181,제주시,58,2,126.36334833333335,33.38795
184,제주시,59,2,126.33441166666667,33.385526666666664
185,제주시,59,2,126.33441166666667,33.385526666666664
186,제주시,37,3,126.51299285714286,33.48681571428572
187,제주시,37,3,126.51299285714286,33.48681571428572
188,제주시,60,2,126.375044,33.408744
189,제주시,60,2,126.375044,33.408744
190,제주시,61,2,126.38743,33.445644
191,제주시,61,2,126.38743,33.445644
192,제주시,62,2,126.44228333333332,33.473255
193,제주시,747,4,126.67323,33.53998
195,제주시,81,1,126.644156,33.519196
196,제주시,13,1,126.5170525,33.62542375
197,제주시,13,1,126.5170525,33.62542375
198,제주시,62,2,126.44228333333332,33.473255
199,제주시,748,4,126.56644,33.46286
200,제주시,63,2,126.44411000000001,33.45446666666667
