geton_stataion_name,usage
효돈농협하나로마트,20
붉은오름휴양림입구,20
공업단지입구,20
귀덕2리,20
고갠드르,20
계룡동,20
귀일중학교,20
금악리,20
두모리사무소,20
롯데시티호텔(600번),20
게이트볼장,20
교래리,20
NLCS제주,20
서귀포칼호텔(종점),20
서귀포향토오일시장,20
동광환승정류장3(한림방면),19
동문성당,19
고성리노인회관,19
솔대왓,19
대천환승정류장(교래방향),19
국제교회,19
서귀포초등학교,19
오션팰리스호텔,19
오름가름,19
신산머루,19
대포포구,19
도련2동,19
남국사,19
산이수동,19
서귀포자연휴양림,19
신라호텔,19
축산진흥원입구,19
전원마을,19
정실,19
제주아트리움,18
사평마을입구,18
보목동동네,18
용마로,18
수산초등학교,18
약천사,18
용담레포츠공원,18
해안로,18
비자림로교래입구,18
알뱅듸왓,18
교래자연휴양림,18
사거리,18
서진아파트,18
귀덕3리,18
제주자동차검사정비사업조합,17
표선도서관,17
갈왓,17
서회천,17
용당리,17
하귀2리,17
상귀리,17
광령2리,17
제주목장,17
동복리관광체험어장,17
한국전력변전소,17
황사평,17
한수리,17
서해안로,17
동일1리,17
산방복지회관,17
행원농공단지,17
사계리서동,17
한화아파트,17
오설록,17
이교동삼거리,17
성산리취락구조,17
연미월왓,17
신흥리취락구조,17
귀덕새마을금고,17
하천리마을입구,17
토평사거리,17
시흥리,16
충혼묘지,16
농협주유소,16
삼매봉입구,16
사동복지회관,16
쇠소깍입구,16
도평동,16
우도천진항,16
남조로검문소,16
예래생태체험관,16
색달동,16
안덕초등학교,16
판포리상동,16
못가름,16
무릉1리학교앞,16
상모3리,16
영등물,16
표선중학교,16
제주중앙중학교,16
제주평화양로원,16
회천입구,15
영평알동네,15
영산홍아파트,15
수망가름,15
남양맨션,15
광령3리사무소,15
선덕어린이집,15
양가왓,15
가흥동,15
산지변전소,15
희진주유소,15
납읍리,15
제석공원,15
용흥리,15
난산리사무소,15
성산농협종합유통센터,15
돔뱅이왓,15
광대왓,15
도련1동입구,15
공항초소,15
하동복지회관,15
동복리휴게소,15
상모리감협,15
한라초등학교,15
"방선문3차,4차빌리지",15
엘지마트,15
한라일보,14
의귀교회앞,14
묵은길입구,14
무릉문화의집,14
월평아왜낭목,14
메이즈랜드,14
보성초등학교,14
토평초등학교,14
양지(추모)공원,14
동광육거리,14
북촌다려마을,14
밤나무골,14
명도암입구삼거리,14
서문로터리,14
종합어시장,14
하추자보건소,14
흙통,14
첨단로8길,14
휴애리자연생활공원,14
선진동,14
제주해안경비단,14
고향모루,14
삼도119센터,14
대천환승정류장,13
오등동,13
용운동,13
동문정류소,13
송산동주민센터,13
토평반석타운,13
화북동마을,13
서부경찰서,13
성산국민체육센터,13
동상효,13
표선리사거리,13
고근산,13
고산문화의집,13
상가리동동,13
비석동,13
귀덕1리,13
동홍초등학교입구,13
유수암상동경로당,13
웃인다마을,13
공업단지,13
명월리,13
세화1리마을회관,13
효성빌라,13
추자중학교,13
상모리이교동,13
진우파크빌,13
감산리,13
수악교,13
조천읍사무소,13
호근새마을금고,13
영락사통,13
애월119센터,13
선반로입구,13
신례2리교차로,13
덕수리동동,13
대정초등학교,13
법호촌입구,12
신풍리하동,12
고성1리사무소,12
성산읍사무소,12
창천초등학교,12
창남거리,12
서건도입구,12
예원동,12
거문머들,12
묵리입구,12
무릉2리소공원,12
서귀포경찰서,12
가시농협,12
한림오일시장,12
몰래물,12
토요시장입구,12
일과2리사무소,12
송천교,12
삼담우체국,12
수망사거리,12
정혜재활원,12
제4부두,12
용천사입구,12
행원목장,12
삼양파출소사거리,12
답다니,12
삼화아파트,12
화북중마을,12
시각장애인복지관,12
장안그랜드빌라,12
보목포구(출발),11
항몽유적지입구,11
성박물관,11
제주버스터미널(종점),11
구몰리동,11
파인힐호텔,11
한국오우퍼빌,11
서광동리마을,11
화순문화마을,11
하가리오당빌레,11
만지동,11
거로복지회관,11
거로남쪽입구,11
진은동,11
폭낭사거리,11
서년듸,11
하례2리,11
대림사거리,11
한지동,11
선인동,11
대정농공단지입구,11
남원취락구조,11
큰솔동산,11
대수동,11
봉성리서성동,11
고산환승정류장(종점),11
월광로,11
법화사사거리,11
구한경의원앞,11
장전리동가름,11
덕천리,11
배튼개입구,11
신흥동,11
월정사,11
고성리장만이동산,11
농림축산검역본부,11
신풍리사무소,11
주공2아파트,11
하도리면수동,11
하천리중동,11
생각하는정원,11
주르레마을,11
농업기술원,11
연미입구,10
명도암마을회관,10
감산리서동,10
모슬포항,10
추자119지역센터,10
광령3리,10
정실마을,10
디삘레,10
돈내코,10
화순동취락지구,10
용강마을,10
용강동대합실,10
원불교,10
제주민속오일장입구,10
동백동산,10
국세공무원교육원국토교통부인재개발원,10
청수리,10
오희준공원,10
토평보목입구,10
제주국제공항입구,10
금등리마을,10
대포항,10
견월교,10
남문,10
유수암(거문덕이),10
자연빌라,10
신사수동,10
신효,10
숨비나리,10
하도리서문동,10
하도리동동,10
보목포구입구,10
상명리,10
평화의마을,10
산지물,10
서의동,10
상가리보건진료소,10
속도르,10
송악펜션단지,10
하도초등학교,9
고산1리,9
용강동,9
용강동퐁낭밭,9
선흘2리입구,9
방림원,9
용담새마을금고,9
하도리창흥동,9
안덕면사무소,9
용수리,9
용해로,9
와산리,9
성지요양원,9
고성오일시장,9
불미공방,9
서광서보건진료소,9
사가동,9
광령2리사무소,9
태흥3리,9
하가리주승골,9
산양리,9
제주사대부설중학교,9
당동산,9
청소년수련원,9
상가리,9
남성마을,9
김만덕기념관,9
예래사우나,9
상천리사무소,9
서상효,9
여의물,9
서귀포YWCA,9
진개동산,9
1100고지휴게소,9
막동산,9
동광리,8
중앙마을,8
4.3평화공원,8
달산봉입구,8
앞밭가름,8
구억리삼거리,8
안성리,8
대림입전동,8
영실입구,8
대흘1리,8
라임오렌지빌,8
삼달1리사무소,8
국세공무원교육원생활관,8
삼달1리삼거리,8
인향동,8
새마을금고연수원,8
신창리한경수협,8
한남리사무소,8
월평알동네,8
위미농협하례지소,8
덕수리군물왓,8
사농동산,8
월림삼거리,8
제주월드컵경기장서문,8
연미마을회관,8
유수암리사무소,8
삼달1리삼달보건진료소,8
염돈동,8
상창리사무소,8
911의원,8
웃거리,8
이기풍선교기념관,8
영락교회,8
도평입구,8
